Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
6.689497232437134	0	15.665625	5.6907883	37.0	8.0	15.665625	5.690788026220534	5013	5013
14.423441410064697	1	27.108109	15.160731	119.0	9.0	27.10810810810811	15.160731252034667	5015	10028
21.817106008529663	2	26.253885	14.828652	94.0	9.0	26.253886010362695	14.828651650416155	5067	15095
28.55781650543213	3	34.67586	20.226948	127.0	11.0	34.675862068965515	20.226947801393205	5028	20123
35.626903772354126	4	42.83051	18.349852	92.0	14.0	42.83050847457627	18.349851098433305	5054	25177
43.129231691360474	5	47.168224	24.482107	151.0	15.0	47.16822429906542	24.48210713447849	5047	30224
51.2075252532959	6	56.80899	29.976723	179.0	21.0	56.80898876404494	29.976723706001316	5056	35280
59.112470865249634	7	55.31868	25.97373	200.0	24.0	55.31868131868132	25.97373107494161	5034	40314
66.04569673538208	8	67.797295	24.854702	140.0	32.0	67.79729729729729	24.85470194775255	5017	45331
73.68000483512878	9	65.46753	21.783817	128.0	29.0	65.46753246753246	21.783816473360442	5041	50372
82.02755069732666	10	68.51351	30.52037	154.0	26.0	68.51351351351352	30.520371240012725	5070	55442
89.45601105690002	11	62.308643	21.520386	127.0	28.0	62.30864197530864	21.52038480960087	5047	60489
99.22072076797485	12	78.34375	33.30504	176.0	31.0	78.34375	33.30503844672004	5014	65503
108.03513169288635	13	89.32143	34.71625	192.0	29.0	89.32142857142857	34.716251414069724	5002	70505
116.75105500221252	14	85.38333	34.438877	200.0	37.0	85.38333333333334	34.43887903066662	5123	75628
123.64051866531372	15	82.78689	30.407677	163.0	32.0	82.78688524590164	30.407675235853308	5050	80678
131.6272623538971	16	101.3	40.07106	200.0	47.0	101.3	40.071061877619364	5065	85743
139.75210571289062	17	111.64445	39.79065	200.0	27.0	111.64444444444445	39.79064968644187	5024	90767
150.97366905212402	18	151.08824	36.983597	200.0	89.0	151.08823529411765	36.98359544689957	5137	95904
162.64437317848206	19	156.84848	38.1386	200.0	87.0	156.84848484848484	38.13859987905454	5176	101080
175.5198118686676	20	181.53572	29.41511	200.0	113.0	181.53571428571428	29.415110478966348	5083	106163
193.88557624816895	21	181.92857	30.015387	200.0	109.0	181.92857142857142	30.01538721035854	5094	111257
211.93060564994812	22	185.71428	28.730095	200.0	105.0	185.71428571428572	28.73009515032867	5200	116457
229.1676766872406	23	189.48148	21.437887	200.0	126.0	189.4814814814815	21.43788679879165	5116	121573
242.07983422279358	24	197.6923	7.492402	200.0	167.0	197.69230769230768	7.492402463466322	5140	126713
254.93363857269287	25	190.33333	24.543234	200.0	115.0	190.33333333333334	24.543234716931064	5139	131852
264.24956703186035	26	194.96153	13.849412	200.0	149.0	194.96153846153845	13.849412009820181	5069	136921
277.1814994812012	27	198.23077	5.071092	200.0	181.0	198.23076923076923	5.071092222722926	5154	142075
289.07053232192993	28	194.76923	18.48348	200.0	108.0	194.76923076923077	18.483480550330285	5064	147139
303.537250995636	29	199.34616	3.2692313	200.0	183.0	199.34615384615384	3.26923076923077	5183	152322
315.9292616844177	30	198.76923	6.1538467	200.0	168.0	198.76923076923077	6.153846153846153	5168	157490
333.87910294532776	31	199.53847	2.3076923	200.0	188.0	199.53846153846155	2.307692307692307	5188	162678
344.0218105316162	32	199.65384	1.7307692	200.0	191.0	199.65384615384616	1.7307692307692306	5191	167869
354.0815227031708	33	200.0	0.0	200.0	200.0	200.0	0.0	5200	173069
359.31965708732605	34	198.53847	6.0588827	200.0	169.0	198.53846153846155	6.058882666927759	5162	178231
367.95356941223145	35	200.0	0.0	200.0	200.0	200.0	0.0	5200	183431
377.62044882774353	36	200.0	0.0	200.0	200.0	200.0	0.0	5200	188631
389.15347266197205	37	200.0	0.0	200.0	200.0	200.0	0.0	5200	193831
400.412709236145	38	200.0	0.0	200.0	200.0	200.0	0.0	5200	199031
414.3763496875763	39	199.65384	1.7307692	200.0	191.0	199.65384615384616	1.7307692307692306	5191	204222
424.2004909515381	40	200.0	0.0	200.0	200.0	200.0	0.0	5200	209422
439.36329984664917	41	199.8077	0.96153843	200.0	195.0	199.80769230769232	0.9615384615384615	5195	214617
451.5336003303528	42	200.0	0.0	200.0	200.0	200.0	0.0	5200	219817
461.7229816913605	43	200.0	0.0	200.0	200.0	200.0	0.0	5200	225017
469.21918416023254	44	200.0	0.0	200.0	200.0	200.0	0.0	5200	230217
476.0321354866028	45	200.0	0.0	200.0	200.0	200.0	0.0	5200	235417
484.37102007865906	46	200.0	0.0	200.0	200.0	200.0	0.0	5200	240617
493.0095925331116	47	198.61539	4.1051273	200.0	182.0	198.6153846153846	4.105127404346565	5164	245781
501.645676612854	48	198.03847	6.676484	200.0	173.0	198.03846153846155	6.676484388282673	5149	250930
510.7114498615265	49	194.34616	18.759495	200.0	104.0	194.34615384615384	18.7594946374697	5053	255983
519.227240562439	50	191.88889	12.187831	200.0	152.0	191.88888888888889	12.187830400712967	5181	261164
527.3939416408539	51	179.21428	19.444715	200.0	137.0	179.21428571428572	19.444714931711143	5018	266182
535.3830962181091	52	165.80646	23.27039	200.0	108.0	165.80645161290323	23.27038732205862	5140	271322
542.697417974472	53	166.8	17.792133	200.0	125.0	166.8	17.79213309302738	5004	276326
551.2375342845917	54	173.7931	14.169855	200.0	144.0	173.79310344827587	14.169854622535166	5040	281366
558.8223247528076	55	180.35715	12.1338215	200.0	156.0	180.35714285714286	12.13382016665546	5050	286416
567.5842785835266	56	185.28572	10.162456	200.0	165.0	185.28571428571428	10.162455914004331	5188	291604
576.3688681125641	57	198.34616	3.4074838	200.0	185.0	198.34615384615384	3.4074839318127577	5157	296761
585.621150970459	58	200.0	0.0	200.0	200.0	200.0	0.0	5200	301961
594.387095451355	59	197.07692	14.615385	200.0	124.0	197.07692307692307	14.615384615384615	5124	307085
601.5354609489441	60	200.0	0.0	200.0	200.0	200.0	0.0	5200	312285
608.285876750946	61	200.0	0.0	200.0	200.0	200.0	0.0	5200	317485
615.4439764022827	62	198.03847	9.807693	200.0	149.0	198.03846153846155	9.80769230769231	5149	322634
623.4385216236115	63	200.0	0.0	200.0	200.0	200.0	0.0	5200	327834
631.4152920246124	64	198.1923	9.038462	200.0	153.0	198.19230769230768	9.038461538461538	5153	332987
639.0929477214813	65	199.57692	2.1153848	200.0	189.0	199.57692307692307	2.1153846153846154	5189	338176
646.9395380020142	66	198.84616	4.0066514	200.0	184.0	198.84615384615384	4.0066512748016665	5170	343346
656.3749990463257	67	199.84616	0.7692307	200.0	196.0	199.84615384615384	0.7692307692307693	5196	348542
665.9858548641205	68	200.0	0.0	200.0	200.0	200.0	0.0	5200	353742
675.9313125610352	69	199.1923	3.6587012	200.0	181.0	199.19230769230768	3.6587012278342996	5179	358921
685.5014815330505	70	196.96153	15.192307	200.0	121.0	196.96153846153845	15.192307692307693	5121	364042
693.7055556774139	71	198.88461	5.576923	200.0	171.0	198.8846153846154	5.5769230769230775	5171	369213
702.0588121414185	72	192.59259	27.514654	200.0	69.0	192.59259259259258	27.51465503012189	5200	374413
711.7708556652069	73	189.59259	24.252163	200.0	98.0	189.59259259259258	24.252161811634913	5119	379532
719.88929271698	74	195.76923	14.251336	200.0	131.0	195.76923076923077	14.251336488764002	5090	384622
728.6842172145844	75	188.03703	26.738073	200.0	110.0	188.03703703703704	26.738073120249588	5077	389699
736.2544310092926	76	195.76923	14.058415	200.0	136.0	195.76923076923077	14.058415744828357	5090	394789
744.0058059692383	77	191.33333	27.399649	200.0	71.0	191.33333333333334	27.399648551409207	5166	399955
752.2242164611816	78	198.15384	6.7692313	200.0	168.0	198.15384615384616	6.76923076923077	5152	405107
759.582953453064	79	199.3077	3.4615383	200.0	182.0	199.30769230769232	3.4615384615384612	5182	410289
768.4178211688995	80	200.0	0.0	200.0	200.0	200.0	0.0	5200	415489
776.7174768447876	81	200.0	0.0	200.0	200.0	200.0	0.0	5200	420689
