Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.3670272827148438	0	22.333334	11.912644	65.0	8.0	22.333333333333332	11.912645009027639	1005	1005
5.088353395462036	1	16.590164	5.766998	41.0	8.0	16.59016393442623	5.766997824479538	1012	2017
7.56052565574646	2	30.885714	27.029902	162.0	9.0	30.885714285714286	27.029900299558665	1081	3098
9.488093376159668	3	42.833332	23.185244	101.0	12.0	42.833333333333336	23.185244349705602	1028	4126
10.898020505905151	4	23.904762	10.195259	52.0	12.0	23.904761904761905	10.195259224639479	1004	5130
12.11236023902893	5	20.32	7.0892596	41.0	10.0	20.32	7.089259481779461	1016	6146
12.685548067092896	6	18.107143	5.802335	43.0	10.0	18.107142857142858	5.802335033134048	1014	7160
13.1232750415802	7	19.384615	5.2078114	32.0	11.0	19.384615384615383	5.20781161095022	1008	8168
14.324236631393433	8	21.041666	5.8664236	39.0	11.0	21.041666666666668	5.866424000663058	1010	9178
16.35256838798523	9	21.804348	4.923853	34.0	12.0	21.804347826086957	4.923853056549848	1003	10181
18.072064638137817	10	23.72093	6.9861183	52.0	13.0	23.72093023255814	6.986117734130488	1020	11201
19.002917766571045	11	29.67647	6.2483907	41.0	19.0	29.676470588235293	6.248390796297283	1009	12210
20.633328437805176	12	31.65625	8.816212	55.0	16.0	31.65625	8.816211541104263	1013	13223
22.94494080543518	13	39.346153	11.265817	60.0	22.0	39.34615384615385	11.265817282969508	1023	14246
24.21911120414734	14	56.68421	24.318182	135.0	21.0	56.68421052631579	24.318181700506244	1077	15323
26.979190349578857	15	79.23077	29.493553	146.0	42.0	79.23076923076923	29.493555609407405	1030	16353
27.87573504447937	16	82.0	30.67196	168.0	46.0	82.0	30.67196163875455	1066	17419
29.57240867614746	17	55.210526	22.251148	118.0	27.0	55.21052631578947	22.251147687416086	1049	18468
31.55895709991455	18	58.944443	17.759106	110.0	35.0	58.94444444444444	17.759104776681053	1061	19529
32.52598762512207	19	45.68182	12.278534	79.0	27.0	45.68181818181818	12.278533979845268	1005	20534
33.8915901184082	20	49.61905	12.50705	83.0	22.0	49.61904761904762	12.507050166001385	1042	21576
34.505282402038574	21	53.36842	14.942735	75.0	25.0	53.36842105263158	14.942734641274896	1014	22590
34.853055000305176	22	50.090908	27.057026	158.0	24.0	50.09090909090909	27.057025790505858	1102	23692
35.97366690635681	23	65.125	23.879581	133.0	33.0	65.125	23.879580712399452	1042	24734
36.951119899749756	24	71.5	27.207535	133.0	40.0	71.5	27.207535720825582	1001	25735
38.900537729263306	25	101.5	37.401203	187.0	58.0	101.5	37.40120318920235	1015	26750
40.38492178916931	26	101.3	51.489902	200.0	47.0	101.3	51.48990192261003	1013	27763
41.290128231048584	27	86.0	39.661064	173.0	42.0	86.0	39.66106403010388	1032	28795
43.066888093948364	28	93.818184	48.190563	200.0	42.0	93.81818181818181	48.190565243752815	1032	29827
44.883636236190796	29	104.0	41.53312	188.0	54.0	104.0	41.53311931459037	1040	30867
45.31969213485718	30	108.6	47.607143	200.0	57.0	108.6	47.60714232129461	1086	31953
45.72208881378174	31	106.4	36.238655	182.0	57.0	106.4	36.238653396615064	1064	33017
46.488229751586914	32	111.3	46.52967	200.0	54.0	111.3	46.52966795497255	1113	34130
47.40064525604248	33	105.2	30.307755	155.0	39.0	105.2	30.307754783223388	1052	35182
48.680448055267334	34	92.72727	28.368008	147.0	56.0	92.72727272727273	28.368006656317828	1020	36202
50.07071089744568	35	153.57143	35.80446	200.0	112.0	153.57142857142858	35.804457595018384	1075	37277
51.202656507492065	36	168.5	40.318523	200.0	107.0	168.5	40.318523451799834	1011	38288
52.55401372909546	37	144.0	40.80966	200.0	74.0	144.0	40.80966272132828	1008	39296
54.93260073661804	38	167.0	22.690464	200.0	141.0	167.0	22.690463698592474	1169	40465
56.339064598083496	39	190.66667	12.749728	200.0	167.0	190.66666666666666	12.749727665936852	1144	41609
58.36489677429199	40	200.0	0.0	200.0	200.0	200.0	0.0	1200	42809
59.93963599205017	41	200.0	0.0	200.0	200.0	200.0	0.0	1200	44009
61.602975606918335	42	176.16667	33.736313	200.0	126.0	176.16666666666666	33.73631409755501	1057	45066
63.2151095867157	43	171.5	63.727936	200.0	29.0	171.5	63.72793735874401	1029	46095
63.91888976097107	44	146.14285	55.699265	200.0	36.0	146.14285714285714	55.69926537455684	1023	47118
65.26292753219604	45	145.85715	63.604645	200.0	26.0	145.85714285714286	63.60464621714489	1021	48139
65.93888020515442	46	169.28572	42.750824	200.0	86.0	169.28571428571428	42.75082049576621	1185	49324
67.51135444641113	47	163.71428	33.1176	200.0	115.0	163.71428571428572	33.117601214521585	1146	50470
68.59691119194031	48	188.0	17.058722	200.0	161.0	188.0	17.05872210923198	1128	51598
70.50593423843384	49	200.0	0.0	200.0	200.0	200.0	0.0	1200	52798
72.60900807380676	50	176.66667	52.174923	200.0	60.0	176.66666666666666	52.1749194749951	1060	53858
74.77210235595703	51	169.5	42.5	200.0	85.0	169.5	42.5	1017	54875
76.61081337928772	52	145.0	61.721146	200.0	47.0	145.0	61.72114710534794	1160	56035
77.53934025764465	53	182.5	30.712376	200.0	116.0	182.5	30.712375355872428	1095	57130
78.67387628555298	54	165.0	56.993732	200.0	52.0	165.0	56.99373399142851	1155	58285
79.55223321914673	55	176.5	36.349003	200.0	104.0	176.5	36.34900273735168	1059	59344
80.2071442604065	56	186.33333	30.559597	200.0	118.0	186.33333333333334	30.55959569249713	1118	60462
